Q,unit,ingredient,cal,P,C,F
0.25,lbs,chicken breast,120,23,0,0.5
1,un,poblano,25,1,5,0.5
1,can,black beans,360,23,67,0
1,un,chili pepper,6,0.3,1.3,0.1
1,un,fajita tortilla,100,3,16,2.5
16,oz,salsa,140,0,28,0
0.25,cup,shredded cheese,110,7,1,8
0.25,cup,jasmine rice,160,3,35,0
2.5,cup,chicken broth,25,5,2.5,0
1,un,yellow onion,45,1.3,9.5,0.2
1,can,corn,242,3.5,45,3.5
1,un,sweet potato,100,2.3,24,0.2
16,oz,frozen broccoli and cauliflower,134,5.3,21.4,0
1,un,carrot,16,0.3,3.8,0.1
12,oz,frozen brussel sprouts,175,15,25,0
1,un,small avocado,240,3,13,22
1,tbsp,teriyaki sauce,20,0,5,0
0.25,lbs,ground chicken breast,120,26,0,3.5
1,un,zucchini,35,3.5,6,1
1,tbsp,sesame oil,120,0,0,14
1,tbsp,soy sauce,10,2,1,0
1,tsp,sriracha,6,0.1,1.2,0.1
24,oz,marinara sauce,326,11,54,11
0.25,cup,whole wheat bread crumbs,110,4,21,0.5
2,oz,protein spaghetti,190,10,39,1
16,oz,frozen green beans,150,5,25,0
1,un,large tortillas,200,8,35,4.5
1,un,green bell pepper,32,1,7.6,0.2
8,oz,pineapple tidbits,140,0,32,0
8,oz,picante sauce,70,0,21,0
12,oz,shrimp,240,52,0,0
0.25,cup,shredded mozzarela cheese,80,6,2,6
1,tbsp,unsalted butter,100,0,0,11
0.25,cup,tri-color quinoa,160,7,30,3
1,can,rotel,62.5,1,12.5,0
16,oz,frozen cauliflower,125,5,20,0
2,tbsp,light sour cream,40,1,3,2.5
1,un,cucumber,30,1.3,7.3,0.2
1,tbsp,sugar,45,0,12,0
8,oz,water chestnuts,64,0,19,0
1,un,lettuce,60,5,5,0
2,oz,chow mein noodles,200,7,42,1
1,un,red bell pepper,35,1,7,0
1,tbsp,chili paste,0,0,0,0
1,tbsp,cornstarch,30,0,7,0
0.25,cup,peanuts,180,8,7,15
2,oz,turkey breast,84,12,5,3.6
2,oz,ham,70,8,4,2
1,un,swiss cheese,90,6,0,7
1,un,cheddar cheese,90,5,0.5,8
1,un,turkey bacon,30,2,0,2.5
2,tsp,honey mustard,10,0,2,0
1,tbsp,hummus,30,1,2,2
1,tbsp,feta cheese,20,2,0.5,1.5
1,tbsp,ranch,40,0,1.3,3.5
1,tbsp,buffalo sauce,20,0,1,2
1,un,burrito tortillas,200,5,33,5
1,un,tomato,30,1.5,6,0
0.25,cup,farro,120,3.8,23,0.75
0.5,oz,craisins,35,0,0,0
5,oz,spinach,35,4,5,0.5
1,can,chickpeas,700,42,140,14
13,oz,smoked turkey sausage,700,56,21,42
1,lbs,baby red potatoes,330,9,78,0
20,oz,frozen potatoes,500,10,110,0
0.25,lbs,ground turkey,160,22,0,8
0.25,cup,basil pesto,160,2,5,15
0.25,cup,quinoa,170,8,29,2.5
1,can,white kidney beans,385,21,66,0
1,tbsp,chia seeds,60,2,5,3.5
1,tbsp,honey,60,0,17,0
0.5,cup,rolled oats,150,5,27,2.5
0.5,cup,yogurt,100,15,11,0
1,un,whole wheat bread,70,3,12,1
1,tbsp,peanut butter,90,3.5,4,7.5
1,un,egg,70,6,0,5
1,un,banana,110,1.3,27,0.4
1,un,apple,100,0.4,24,0.2
8,oz,milk,80,8,12,0
1,un,protein powder,140,24,4.5,1.9
3,oz,baby carrots,35,0.6,8.2,0.1
14,un,almonds,100,3.6,3.6,9.2
0.5,cup,quick oats,150,6,27,2.5
2,cup,popcorn,40,1,10,0
1,un,rice cake,60,1,3,0
